Eiseninsel / Iron Island | Badge 1-4
  Zobiris / Sableye (BP: 3) (Value: 1/4)
  Flunkifer / Mawile (BP: 3) (Value: 5/8)
  Onix / Onix (BP: 3) (Value: 9/12)
  Riolu / Riolu (BP: 3) (Value: 13/15)
  Tanhel / Beldum (BP: 3) (Value: 16/18)
  Flunkifer / Mawile (BP: 6) (Value: 1/6)
  Stahlos / Steelix (BP: 6) (Value: 7/10)
  Lucario / Lucario (BP: 6) (Value: 11/13)
  Metagross / Metagross (BP: 7) (Value: 14/16)
  Cresselia / Cresselia (BP: 10) (Value: 17/18)
  Drakrai / Darkrai (BP: 10) (Value: 19/20)
