Ewigwald / Eterna Forest | Badge 1-4
  Kikugi / Cherubi (BP: 3) (Value: 1/4)
  Knilz / Shroomish (BP: 3) (Value: 5/8)
  Nebulak / Gastly (BP: 3) (Value: 9/12)
  Kramurx / Murkrow (BP: 3) (Value: 13/15)
  Traunfugil / Misdreavus (BP: 3) (Value: 16/18)
  Kapilz / Breloom (BP: 5) (Value: 1/4)
  Alpollo / Haunter (BP: 5) (Value: 5/8)
  Kramurx / Murkrow (BP: 5) (Value: 9/12)
  Traunfugil / Misdreavus (BP: 5) (Value: 13/16)
  Rotom / Rotom (BP: 10) (Value: 17/18)
  Shaymin / Shaymin (BP: 10) (Value: 19/20)
