Ewigwald / Eterna Forest | Badge 5+
  Kinoso / Cherrim (BP: 5) (Value: 1/4)
  Kapilz / Breloom (BP: 5) (Value: 5/8)
  Alpollo / Haunter (BP: 5) (Value: 9/12)
  Kramurx / Murkrow (BP: 5) (Value: 13/15)
  Traunfugil / Misdreavus (BP: 5) (Value: 16/18)
  Kapilz / Breloom (BP: 7) (Value: 1/4)
  Gengar / Gengar (BP: 7) (Value: 5/8)
  Kramshef / Honchkrow (BP: 7) (Value: 9/12)
  Traunmagil / Mismagius (BP: 7) (Value: 13/16)
  Rotom / Rotom (BP: 10) (Value: 17/18)
  Shaymin / Shaymin (BP: 10) (Value: 19/20)
