Grossmoor / Great Marsh | TownEvent
  Morlord / Quagsire (BP: 5) (Value: 1/4)
  Yanmega / Yanmega (BP: 6) (Value: 5/8)
  Piondragi / Drapion (BP: 5) (Value: 9/11)
  Toxiquak / Toxicroak (BP: 6) (Value: 12/14)
  Sichlor / Scyther (BP: 6) (Value: 15/17)
  Skaraborn / Heracross (BP: 6) (Value: 18/20)
  Morlord / Quagsire (BP: 7) (Value: 1/4)
  Yanmega / Yanmega (BP: 7) (Value: 5/8)
  Piondragi / Drapion (BP: 7) (Value: 9/11)
  Toxiquak / Toxicroak (BP: 7) (Value: 12/14)
  Scherox / Scizor (BP: 7) (Value: 15/17)
  Skaraborn / Heracross (BP: 7) (Value: 18/20)
