Kahlberg / Stark Mountain | Badge 1-4
  Smogon / Koffing (BP: 3) (Value: 1/4)
  Qurtel / Torkoal (BP: 4) (Value: 5/8)
  Scheckmag / Slugma (BP: 3) (Value: 9/12)
  Camaub / Numel (BP: 3) (Value: 13/15)
  Magby / Magby (BP: 3) (Value: 16/18)
  Smogmog / Weezing (BP: 6) (Value: 1/5)
  Magcargo / Magcargo (BP: 6) (Value: 6/9)
  Camerupt / Camerupt (BP: 6) (Value: 10/13)
  Magbrand / Magmortar (BP: 7) (Value: 14/16)
  Regigigas / Regigigas (BP: 10) (Value: 17/18)
  Heatran / Heatran (BP: 10) (Value: 19/20)
