Kahlberg / Stark Mountain | Badge 5+
  Smogmog / Weezing (BP: 5) (Value: 1/4)
  Qurtel / Torkoal (BP: 6) (Value: 5/8)
  Magcargo / Magcargo (BP: 5) (Value: 9/12)
  Camerupt / Camerupt (BP: 5) (Value: 13/15)
  Magmar / Magmar (BP: 5) (Value: 16/18)
  Smogmog / Weezing (Galar) (BP: 7) (Value: 1/5)
  Magcargo / Magcargo (BP: 6) (Value: 6/9)
  Camerupt / Camerupt (BP: 6) (Value: 10/13)
  Magbrand / Magmortar (BP: 7) (Value: 14/16)
  Regigigas / Regigigas (BP: 10) (Value: 17/18)
  Heatran / Heatran (BP: 10) (Value: 19/20)
