Kraterberg / Mt. Coronet | Badge 1-4
  Machollo / Machop (BP: 3) (Value: 1/4)
  Bronzel / Bronzor (BP: 3) (Value: 5/8)
  Nasgnet / Nosepass (BP: 3) (Value: 9/12)
  Klingplim / Chingling (BP: 3) (Value: 13/16)
  Absol / Absol (BP: 4) (Value: 17/18)
  Maschok / Machoke (BP: 5) (Value: 1/4)
  Bronzong / Bronzong (BP: 5) (Value: 5/8)
  Voluminas / Probopass (BP: 5) (Value: 9/12)
  Palimpalim / Chimecho (BP: 5) (Value: 13/16)
  Dialga / Dialga (BP: 10) (Value: 17/18)
  Palkia / Palkia (BP: 10) (Value: 19/20)
