Ursprungshöhle / Turnback Cave | Badge 1-4
  Togepi / Togepi (BP: 3) (Value: 1/6)
  Larvitar / Larvitar (BP: 3) (Value: 7/9)
  Dratini / Dratini (BP: 3) (Value: 10/12)
  Kindwurm / Bagon (BP: 3) (Value: 13/15)
  Kaumalat / Gible (BP: 3) (Value: 16/18)
  Pupitar / Pupitar (BP: 5) (Value: 1/4)
  Dragonir / Dragonair (BP: 5) (Value: 5/8)
  Brutalanda / Salamence (BP: 7) (Value: 9/12)
  Knackrack / Garchomp (BP: 7) (Value: 13/16)
  Giratina / Giratina (BP: 10) (Value: 17/18)
  Arceus / Arceus (BP: 10) (Value: 19/20)

