Ursprungshöhle / Turnback Cave | Badge 5+
  Togetic / Togetic (BP: 5) (Value: 1/6)
  Pupitar / Pupitar (BP: 5) (Value: 7/9)
  Dragonir / Dragonair (BP: 5) (Value: 10/12)
  Draschel / Shelgon (BP: 5) (Value: 13/15)
  Knarksel / Gabite (BP: 5) (Value: 16/18)
  Despotar / Despotar (BP: 7) (Value: 1/4)
  Dragoran /Dragonite (BP: 7) (Value: 5/8)
  Brutalanda / Salamence (BP: 7) (Value: 9/12)
  Knackrack / Garchomp (BP: 7) (Value: 13/16)
  Giratina / Giratina (BP: 10) (Value: 17/18)
  Arceus / Arceus (BP: 10) (Value: 19/20)

